Nr.;Kategorie;Slowakisch;Deutsch;Beispielsatz SK;Übersetzung DE
266;03 Verben II;zvýšiť;erhöhen;Dnes si precvičujem sloveso „zvýšiť“.;Heute übe ich das Verb „erhöhen“.
267;03 Verben II;znížiť;senken;Dnes si precvičujem sloveso „znížiť“.;Heute übe ich das Verb „senken“.
268;03 Verben II;vyhrať;gewinnen;Dnes si precvičujem sloveso „vyhrať“.;Heute übe ich das Verb „gewinnen“.
269;03 Verben II;prehrať;verlieren;Dnes si precvičujem sloveso „prehrať“.;Heute übe ich das Verb „verlieren“.
270;03 Verben II;zaplatiť;bezahlen;Dnes si precvičujem sloveso „zaplatiť“.;Heute übe ich das Verb „bezahlen“.
271;03 Verben II;požičať;leihen;Dnes si precvičujem sloveso „požičať“.;Heute übe ich das Verb „leihen“.
272;03 Verben II;ušetriť;sparen;Dnes si precvičujem sloveso „ušetriť“.;Heute übe ich das Verb „sparen“.
273;03 Verben II;minúť;ausgeben/verbrauchen;Dnes si precvičujem sloveso „minúť“.;Heute übe ich das Verb „ausgeben/verbrauchen“.
274;03 Verben II;zarobiť;verdienen;Dnes si precvičujem sloveso „zarobiť“.;Heute übe ich das Verb „verdienen“.
275;03 Verben II;študovať;studieren;Študujem dizajn.;Ich studiere Design.
276;03 Verben II;trénovať;trainieren;Dnes si precvičujem sloveso „trénovať“.;Heute übe ich das Verb „trainieren“.
277;03 Verben II;precvičovať;üben;Dnes si precvičujem sloveso „precvičovať“.;Heute übe ich das Verb „üben“.
278;03 Verben II;skontrolovať;kontrollieren;Dnes si precvičujem sloveso „skontrolovať“.;Heute übe ich das Verb „kontrollieren“.
279;03 Verben II;porovnať;vergleichen;Chcem porovnať dve možnosti.;Ich möchte zwei Möglichkeiten vergleichen.
280;03 Verben II;vybrať si;sich aussuchen;Dnes si precvičujem sloveso „vybrať si“.;Heute übe ich das Verb „sich aussuchen“.
281;03 Verben II;pripraviť;vorbereiten;Musím sa pripraviť.;Ich muss mich vorbereiten.
282;03 Verben II;dokončiť;fertigstellen;Dnes si precvičujem sloveso „dokončiť“.;Heute übe ich das Verb „fertigstellen“.
283;03 Verben II;zlepšiť;verbessern;Chcem zlepšiť svoju slovenčinu.;Ich möchte mein Slowakisch verbessern.
284;03 Verben II;zhoršiť;verschlechtern;Dnes si precvičujem sloveso „zhoršiť“.;Heute übe ich das Verb „verschlechtern“.
285;03 Verben II;rasti;wachsen;Dnes si precvičujem sloveso „rasti“.;Heute übe ich das Verb „wachsen“.
286;03 Verben II;klesnúť;sinken;Dnes si precvičujem sloveso „klesnúť“.;Heute übe ich das Verb „sinken“.
287;03 Verben II;meniť;ändern;Dnes si precvičujem sloveso „meniť“.;Heute übe ich das Verb „ändern“.
288;03 Verben II;spojiť;verbinden;Dnes si precvičujem sloveso „spojiť“.;Heute übe ich das Verb „verbinden“.
289;03 Verben II;oddeliť;trennen;Dnes si precvičujem sloveso „oddeliť“.;Heute übe ich das Verb „trennen“.
290;03 Verben II;zapamätať si;sich merken;Dnes si precvičujem sloveso „zapamätať si“.;Heute übe ich das Verb „sich merken“.
291;03 Verben II;zabávať sa;Spaß haben;Dnes si precvičujem sloveso „zabávať sa“.;Heute übe ich das Verb „Spaß haben“.
292;03 Verben II;ponáhľať sa;sich beeilen;Ponáhľam sa do práce.;Ich beeile mich zur Arbeit.
293;03 Verben II;meškať;zu spät sein;Prepáč, meškám.;Entschuldige, ich bin spät dran.
294;03 Verben II;stihnúť;rechtzeitig schaffen;Dnes si precvičujem sloveso „stihnúť“.;Heute übe ich das Verb „rechtzeitig schaffen“.
295;04 Menschen & Familie;človek;Mensch;Dnes si zapamätám slovo „človek“.;Heute merke ich mir das Wort „Mensch“.
296;04 Menschen & Familie;ľudia;Menschen;Dnes si zapamätám slovo „ľudia“.;Heute merke ich mir das Wort „Menschen“.
297;04 Menschen & Familie;muž;Mann;Dnes si zapamätám slovo „muž“.;Heute merke ich mir das Wort „Mann“.
298;04 Menschen & Familie;žena;Frau;Dnes si zapamätám slovo „žena“.;Heute merke ich mir das Wort „Frau“.
299;04 Menschen & Familie;chlapec;Junge;Dnes si zapamätám slovo „chlapec“.;Heute merke ich mir das Wort „Junge“.
300;04 Menschen & Familie;dievča;Mädchen;Dnes si zapamätám slovo „dievča“.;Heute merke ich mir das Wort „Mädchen“.
301;04 Menschen & Familie;dieťa;Kind;Dnes si zapamätám slovo „dieťa“.;Heute merke ich mir das Wort „Kind“.
302;04 Menschen & Familie;deti;Kinder;Dnes si zapamätám slovo „deti“.;Heute merke ich mir das Wort „Kinder“.
303;04 Menschen & Familie;rodina;Familie;Dnes si zapamätám slovo „rodina“.;Heute merke ich mir das Wort „Familie“.
304;04 Menschen & Familie;rodičia;Eltern;Dnes si zapamätám slovo „rodičia“.;Heute merke ich mir das Wort „Eltern“.
305;04 Menschen & Familie;mama;Mama;Dnes si zapamätám slovo „mama“.;Heute merke ich mir das Wort „Mama“.
306;04 Menschen & Familie;matka;Mutter;Dnes si zapamätám slovo „matka“.;Heute merke ich mir das Wort „Mutter“.
307;04 Menschen & Familie;otec;Vater;Dnes si zapamätám slovo „otec“.;Heute merke ich mir das Wort „Vater“.
308;04 Menschen & Familie;tato;Papa;Dnes si zapamätám slovo „tato“.;Heute merke ich mir das Wort „Papa“.
309;04 Menschen & Familie;syn;Sohn;Dnes si zapamätám slovo „syn“.;Heute merke ich mir das Wort „Sohn“.
310;04 Menschen & Familie;dcéra;Tochter;Dnes si zapamätám slovo „dcéra“.;Heute merke ich mir das Wort „Tochter“.
311;04 Menschen & Familie;brat;Bruder;Dnes si zapamätám slovo „brat“.;Heute merke ich mir das Wort „Bruder“.
312;04 Menschen & Familie;sestra;Schwester;Dnes si zapamätám slovo „sestra“.;Heute merke ich mir das Wort „Schwester“.
313;04 Menschen & Familie;starý otec;Großvater;Dnes si zapamätám slovo „starý otec“.;Heute merke ich mir das Wort „Großvater“.
314;04 Menschen & Familie;stará mama;Großmutter;Dnes si zapamätám slovo „stará mama“.;Heute merke ich mir das Wort „Großmutter“.
315;04 Menschen & Familie;dedko;Opa;Dnes si zapamätám slovo „dedko“.;Heute merke ich mir das Wort „Opa“.
316;04 Menschen & Familie;babka;Oma;Dnes si zapamätám slovo „babka“.;Heute merke ich mir das Wort „Oma“.
317;04 Menschen & Familie;strýko;Onkel;Dnes si zapamätám slovo „strýko“.;Heute merke ich mir das Wort „Onkel“.
318;04 Menschen & Familie;teta;Tante;Dnes si zapamätám slovo „teta“.;Heute merke ich mir das Wort „Tante“.
319;04 Menschen & Familie;bratranec;Cousin;Dnes si zapamätám slovo „bratranec“.;Heute merke ich mir das Wort „Cousin“.
320;04 Menschen & Familie;sesternica;Cousine;Dnes si zapamätám slovo „sesternica“.;Heute merke ich mir das Wort „Cousine“.
321;04 Menschen & Familie;partner;Partner;Dnes si zapamätám slovo „partner“.;Heute merke ich mir das Wort „Partner“.
322;04 Menschen & Familie;partnerka;Partnerin;Dnes si zapamätám slovo „partnerka“.;Heute merke ich mir das Wort „Partnerin“.
323;04 Menschen & Familie;priateľ;Freund;Dnes si zapamätám slovo „priateľ“.;Heute merke ich mir das Wort „Freund“.
324;04 Menschen & Familie;priateľka;Freundin;Dnes si zapamätám slovo „priateľka“.;Heute merke ich mir das Wort „Freundin“.
325;04 Menschen & Familie;kamarát;Freund/Kumpel;Dnes si zapamätám slovo „kamarát“.;Heute merke ich mir das Wort „Freund/Kumpel“.
326;04 Menschen & Familie;kamarátka;Freundin;Dnes si zapamätám slovo „kamarátka“.;Heute merke ich mir das Wort „Freundin“.
327;04 Menschen & Familie;sused;Nachbar;Dnes si zapamätám slovo „sused“.;Heute merke ich mir das Wort „Nachbar“.
328;04 Menschen & Familie;suseda;Nachbarin;Dnes si zapamätám slovo „suseda“.;Heute merke ich mir das Wort „Nachbarin“.
329;04 Menschen & Familie;kolega;Kollege;Dnes si zapamätám slovo „kolega“.;Heute merke ich mir das Wort „Kollege“.
330;04 Menschen & Familie;kolegyňa;Kollegin;Dnes si zapamätám slovo „kolegyňa“.;Heute merke ich mir das Wort „Kollegin“.
331;04 Menschen & Familie;šéf;Chef;Dnes si zapamätám slovo „šéf“.;Heute merke ich mir das Wort „Chef“.
332;04 Menschen & Familie;šéfka;Chefin;Dnes si zapamätám slovo „šéfka“.;Heute merke ich mir das Wort „Chefin“.
333;04 Menschen & Familie;učiteľ;Lehrer;Dnes si zapamätám slovo „učiteľ“.;Heute merke ich mir das Wort „Lehrer“.
334;04 Menschen & Familie;učiteľka;Lehrerin;Dnes si zapamätám slovo „učiteľka“.;Heute merke ich mir das Wort „Lehrerin“.
335;04 Menschen & Familie;študent;Student;Dnes si zapamätám slovo „študent“.;Heute merke ich mir das Wort „Student“.
336;04 Menschen & Familie;študentka;Studentin;Dnes si zapamätám slovo „študentka“.;Heute merke ich mir das Wort „Studentin“.
337;04 Menschen & Familie;zákazník;Kunde;Dnes si zapamätám slovo „zákazník“.;Heute merke ich mir das Wort „Kunde“.
338;04 Menschen & Familie;hosť;Gast;Dnes si zapamätám slovo „hosť“.;Heute merke ich mir das Wort „Gast“.
339;04 Menschen & Familie;cudzinec;Ausländer/Fremder;Dnes si zapamätám slovo „cudzinec“.;Heute merke ich mir das Wort „Ausländer/Fremder“.
340;04 Menschen & Familie;Slovák;Slowake;Dnes si zapamätám slovo „Slovák“.;Heute merke ich mir das Wort „Slowake“.
341;04 Menschen & Familie;Slovenka;Slowakin;Dnes si zapamätám slovo „Slovenka“.;Heute merke ich mir das Wort „Slowakin“.
342;04 Menschen & Familie;Nemec;Deutscher;Dnes si zapamätám slovo „Nemec“.;Heute merke ich mir das Wort „Deutscher“.
343;04 Menschen & Familie;Nemka;Deutsche;Dnes si zapamätám slovo „Nemka“.;Heute merke ich mir das Wort „Deutsche“.
344;04 Menschen & Familie;Rakúšan;Österreicher;Dnes si zapamätám slovo „Rakúšan“.;Heute merke ich mir das Wort „Österreicher“.
345;04 Menschen & Familie;Rakúšanka;Österreicherin;Dnes si zapamätám slovo „Rakúšanka“.;Heute merke ich mir das Wort „Österreicherin“.
346;04 Menschen & Familie;meno;Name;Dnes si zapamätám slovo „meno“.;Heute merke ich mir das Wort „Name“.
347;04 Menschen & Familie;priezvisko;Nachname;Dnes si zapamätám slovo „priezvisko“.;Heute merke ich mir das Wort „Nachname“.
348;04 Menschen & Familie;vek;Alter;Dnes si zapamätám slovo „vek“.;Heute merke ich mir das Wort „Alter“.
349;04 Menschen & Familie;narodeniny;Geburtstag;Dnes si zapamätám slovo „narodeniny“.;Heute merke ich mir das Wort „Geburtstag“.
350;04 Menschen & Familie;svadba;Hochzeit;Dnes si zapamätám slovo „svadba“.;Heute merke ich mir das Wort „Hochzeit“.
351;04 Menschen & Familie;manžel;Ehemann;Dnes si zapamätám slovo „manžel“.;Heute merke ich mir das Wort „Ehemann“.
352;04 Menschen & Familie;manželka;Ehefrau;Dnes si zapamätám slovo „manželka“.;Heute merke ich mir das Wort „Ehefrau“.
353;04 Menschen & Familie;pár;Paar;Dnes si zapamätám slovo „pár“.;Heute merke ich mir das Wort „Paar“.
354;04 Menschen & Familie;vzťah;Beziehung;Dnes si zapamätám slovo „vzťah“.;Heute merke ich mir das Wort „Beziehung“.
355;04 Menschen & Familie;láska;Liebe;Dnes si zapamätám slovo „láska“.;Heute merke ich mir das Wort „Liebe“.
356;04 Menschen & Familie;priateľstvo;Freundschaft;Dnes si zapamätám slovo „priateľstvo“.;Heute merke ich mir das Wort „Freundschaft“.
357;04 Menschen & Familie;návšteva;Besuch;Dnes si zapamätám slovo „návšteva“.;Heute merke ich mir das Wort „Besuch“.
358;04 Menschen & Familie;stretnutie;Treffen;Dnes si zapamätám slovo „stretnutie“.;Heute merke ich mir das Wort „Treffen“.
359;04 Menschen & Familie;rozhovor;Gespräch;Dnes si zapamätám slovo „rozhovor“.;Heute merke ich mir das Wort „Gespräch“.
360;04 Menschen & Familie;otázka;Frage;Dnes si zapamätám slovo „otázka“.;Heute merke ich mir das Wort „Frage“.
361;04 Menschen & Familie;odpoveď;Antwort;Dnes si zapamätám slovo „odpoveď“.;Heute merke ich mir das Wort „Antwort“.
362;04 Menschen & Familie;názor;Meinung;Dnes si zapamätám slovo „názor“.;Heute merke ich mir das Wort „Meinung“.
363;04 Menschen & Familie;problém;Problem;Dnes si zapamätám slovo „problém“.;Heute merke ich mir das Wort „Problem“.
364;04 Menschen & Familie;pomoc;Hilfe;Dnes si zapamätám slovo „pomoc“.;Heute merke ich mir das Wort „Hilfe“.
365;04 Menschen & Familie;nápad;Idee;Dnes si zapamätám slovo „nápad“.;Heute merke ich mir das Wort „Idee“.
366;04 Menschen & Familie;príbeh;Geschichte;Dnes si zapamätám slovo „príbeh“.;Heute merke ich mir das Wort „Geschichte“.
367;04 Menschen & Familie;správa;Nachricht;Dnes si zapamätám slovo „správa“.;Heute merke ich mir das Wort „Nachricht“.
368;04 Menschen & Familie;vtip;Witz;Dnes si zapamätám slovo „vtip“.;Heute merke ich mir das Wort „Witz“.
369;04 Menschen & Familie;hlas;Stimme;Dnes si zapamätám slovo „hlas“.;Heute merke ich mir das Wort „Stimme“.
370;04 Menschen & Familie;tvár;Gesicht;Dnes si zapamätám slovo „tvár“.;Heute merke ich mir das Wort „Gesicht“.
371;04 Menschen & Familie;oko;Auge;Dnes si zapamätám slovo „oko“.;Heute merke ich mir das Wort „Auge“.
372;04 Menschen & Familie;oči;Augen;Dnes si zapamätám slovo „oči“.;Heute merke ich mir das Wort „Augen“.
373;04 Menschen & Familie;ucho;Ohr;Dnes si zapamätám slovo „ucho“.;Heute merke ich mir das Wort „Ohr“.
374;04 Menschen & Familie;nos;Nase;Dnes si zapamätám slovo „nos“.;Heute merke ich mir das Wort „Nase“.
375;04 Menschen & Familie;ústa;Mund;Dnes si zapamätám slovo „ústa“.;Heute merke ich mir das Wort „Mund“.
376;04 Menschen & Familie;zub;Zahn;Dnes si zapamätám slovo „zub“.;Heute merke ich mir das Wort „Zahn“.
377;04 Menschen & Familie;vlasy;Haare;Dnes si zapamätám slovo „vlasy“.;Heute merke ich mir das Wort „Haare“.
378;04 Menschen & Familie;hlava;Kopf;Dnes si zapamätám slovo „hlava“.;Heute merke ich mir das Wort „Kopf“.
379;04 Menschen & Familie;ruka;Hand/Arm;Dnes si zapamätám slovo „ruka“.;Heute merke ich mir das Wort „Hand/Arm“.
380;04 Menschen & Familie;prst;Finger;Dnes si zapamätám slovo „prst“.;Heute merke ich mir das Wort „Finger“.
381;04 Menschen & Familie;noha;Bein/Fuß;Dnes si zapamätám slovo „noha“.;Heute merke ich mir das Wort „Bein/Fuß“.
382;04 Menschen & Familie;srdce;Herz;Dnes si zapamätám slovo „srdce“.;Heute merke ich mir das Wort „Herz“.
383;04 Menschen & Familie;telo;Körper;Dnes si zapamätám slovo „telo“.;Heute merke ich mir das Wort „Körper“.
384;04 Menschen & Familie;zdravie;Gesundheit;Dnes si zapamätám slovo „zdravie“.;Heute merke ich mir das Wort „Gesundheit“.
385;04 Menschen & Familie;život;Leben;Dnes si zapamätám slovo „život“.;Heute merke ich mir das Wort „Leben“.
386;04 Menschen & Familie;smrť;Tod;Dnes si zapamätám slovo „smrť“.;Heute merke ich mir das Wort „Tod“.
387;04 Menschen & Familie;adresa;Adresse;Dnes si zapamätám slovo „adresa“.;Heute merke ich mir das Wort „Adresse“.
388;04 Menschen & Familie;telefón;Telefon;Dnes si zapamätám slovo „telefón“.;Heute merke ich mir das Wort „Telefon“.
389;04 Menschen & Familie;kontakt;Kontakt;Dnes si zapamätám slovo „kontakt“.;Heute merke ich mir das Wort „Kontakt“.
390;04 Menschen & Familie;skupina;Gruppe;Dnes si zapamätám slovo „skupina“.;Heute merke ich mir das Wort „Gruppe“.
391;04 Menschen & Familie;tím;Team;Dnes si zapamätám slovo „tím“.;Heute merke ich mir das Wort „Team“.
392;05 Essen & Trinken;jedlo;Essen;Dnes si zapamätám slovo „jedlo“.;Heute merke ich mir das Wort „Essen“.
393;05 Essen & Trinken;nápoj;Getränk;Dnes si zapamätám slovo „nápoj“.;Heute merke ich mir das Wort „Getränk“.
394;05 Essen & Trinken;voda;Wasser;Dnes si zapamätám slovo „voda“.;Heute merke ich mir das Wort „Wasser“.
395;05 Essen & Trinken;káva;Kaffee;Dnes si zapamätám slovo „káva“.;Heute merke ich mir das Wort „Kaffee“.
396;05 Essen & Trinken;čaj;Tee;Dnes si zapamätám slovo „čaj“.;Heute merke ich mir das Wort „Tee“.
397;05 Essen & Trinken;mlieko;Milch;Dnes si zapamätám slovo „mlieko“.;Heute merke ich mir das Wort „Milch“.
398;05 Essen & Trinken;džús;Saft;Dnes si zapamätám slovo „džús“.;Heute merke ich mir das Wort „Saft“.
399;05 Essen & Trinken;pivo;Bier;Dnes si zapamätám slovo „pivo“.;Heute merke ich mir das Wort „Bier“.
400;05 Essen & Trinken;víno;Wein;Dnes si zapamätám slovo „víno“.;Heute merke ich mir das Wort „Wein“.
401;05 Essen & Trinken;raňajky;Frühstück;Dnes si zapamätám slovo „raňajky“.;Heute merke ich mir das Wort „Frühstück“.
402;05 Essen & Trinken;obed;Mittagessen;Dnes si zapamätám slovo „obed“.;Heute merke ich mir das Wort „Mittagessen“.
403;05 Essen & Trinken;večera;Abendessen;Dnes si zapamätám slovo „večera“.;Heute merke ich mir das Wort „Abendessen“.
404;05 Essen & Trinken;chlieb;Brot;Dnes si zapamätám slovo „chlieb“.;Heute merke ich mir das Wort „Brot“.
405;05 Essen & Trinken;rožok;Brötchen;Dnes si zapamätám slovo „rožok“.;Heute merke ich mir das Wort „Brötchen“.
406;05 Essen & Trinken;maslo;Butter;Dnes si zapamätám slovo „maslo“.;Heute merke ich mir das Wort „Butter“.
407;05 Essen & Trinken;syr;Käse;Dnes si zapamätám slovo „syr“.;Heute merke ich mir das Wort „Käse“.
408;05 Essen & Trinken;vajce;Ei;Dnes si zapamätám slovo „vajce“.;Heute merke ich mir das Wort „Ei“.
409;05 Essen & Trinken;mäso;Fleisch;Dnes si zapamätám slovo „mäso“.;Heute merke ich mir das Wort „Fleisch“.
410;05 Essen & Trinken;kurča;Huhn;Dnes si zapamätám slovo „kurča“.;Heute merke ich mir das Wort „Huhn“.
411;05 Essen & Trinken;kura;Hähnchen;Dnes si zapamätám slovo „kura“.;Heute merke ich mir das Wort „Hähnchen“.
412;05 Essen & Trinken;hovädzie;Rindfleisch;Dnes si zapamätám slovo „hovädzie“.;Heute merke ich mir das Wort „Rindfleisch“.
413;05 Essen & Trinken;bravčové;Schweinefleisch;Dnes si zapamätám slovo „bravčové“.;Heute merke ich mir das Wort „Schweinefleisch“.
414;05 Essen & Trinken;ryba;Fisch;Dnes si zapamätám slovo „ryba“.;Heute merke ich mir das Wort „Fisch“.
415;05 Essen & Trinken;šunka;Schinken;Dnes si zapamätám slovo „šunka“.;Heute merke ich mir das Wort „Schinken“.
416;05 Essen & Trinken;klobása;Wurst;Dnes si zapamätám slovo „klobása“.;Heute merke ich mir das Wort „Wurst“.
417;05 Essen & Trinken;ryža;Reis;Dnes si zapamätám slovo „ryža“.;Heute merke ich mir das Wort „Reis“.
418;05 Essen & Trinken;cestoviny;Nudeln;Dnes si zapamätám slovo „cestoviny“.;Heute merke ich mir das Wort „Nudeln“.
419;05 Essen & Trinken;zemiak;Kartoffel;Dnes si zapamätám slovo „zemiak“.;Heute merke ich mir das Wort „Kartoffel“.
420;05 Essen & Trinken;polievka;Suppe;Dnes si zapamätám slovo „polievka“.;Heute merke ich mir das Wort „Suppe“.
421;05 Essen & Trinken;šalát;Salat;Dnes si zapamätám slovo „šalát“.;Heute merke ich mir das Wort „Salat“.
422;05 Essen & Trinken;zelenina;Gemüse;Dnes si zapamätám slovo „zelenina“.;Heute merke ich mir das Wort „Gemüse“.
423;05 Essen & Trinken;ovocie;Obst;Dnes si zapamätám slovo „ovocie“.;Heute merke ich mir das Wort „Obst“.
424;05 Essen & Trinken;jablko;Apfel;Dnes si zapamätám slovo „jablko“.;Heute merke ich mir das Wort „Apfel“.
425;05 Essen & Trinken;hruška;Birne;Dnes si zapamätám slovo „hruška“.;Heute merke ich mir das Wort „Birne“.
426;05 Essen & Trinken;banán;Banane;Dnes si zapamätám slovo „banán“.;Heute merke ich mir das Wort „Banane“.
427;05 Essen & Trinken;pomaranč;Orange;Dnes si zapamätám slovo „pomaranč“.;Heute merke ich mir das Wort „Orange“.
428;05 Essen & Trinken;citrón;Zitrone;Dnes si zapamätám slovo „citrón“.;Heute merke ich mir das Wort „Zitrone“.
429;05 Essen & Trinken;jahoda;Erdbeere;Dnes si zapamätám slovo „jahoda“.;Heute merke ich mir das Wort „Erdbeere“.
430;05 Essen & Trinken;hrozno;Trauben;Dnes si zapamätám slovo „hrozno“.;Heute merke ich mir das Wort „Trauben“.
431;05 Essen & Trinken;paradajka;Tomate;Dnes si zapamätám slovo „paradajka“.;Heute merke ich mir das Wort „Tomate“.
432;05 Essen & Trinken;uhorka;Gurke;Dnes si zapamätám slovo „uhorka“.;Heute merke ich mir das Wort „Gurke“.
433;05 Essen & Trinken;paprika;Paprika;Dnes si zapamätám slovo „paprika“.;Heute merke ich mir das Wort „Paprika“.
434;05 Essen & Trinken;cibuľa;Zwiebel;Dnes si zapamätám slovo „cibuľa“.;Heute merke ich mir das Wort „Zwiebel“.
435;05 Essen & Trinken;cesnak;Knoblauch;Dnes si zapamätám slovo „cesnak“.;Heute merke ich mir das Wort „Knoblauch“.
436;05 Essen & Trinken;mrkva;Karotte;Dnes si zapamätám slovo „mrkva“.;Heute merke ich mir das Wort „Karotte“.
437;05 Essen & Trinken;kapusta;Kohl;Dnes si zapamätám slovo „kapusta“.;Heute merke ich mir das Wort „Kohl“.
438;05 Essen & Trinken;huba;Pilz;Dnes si zapamätám slovo „huba“.;Heute merke ich mir das Wort „Pilz“.
439;05 Essen & Trinken;cukor;Zucker;Dnes si zapamätám slovo „cukor“.;Heute merke ich mir das Wort „Zucker“.
440;05 Essen & Trinken;soľ;Salz;Dnes si zapamätám slovo „soľ“.;Heute merke ich mir das Wort „Salz“.
441;05 Essen & Trinken;korenie;Gewürz/Pfeffer;Dnes si zapamätám slovo „korenie“.;Heute merke ich mir das Wort „Gewürz/Pfeffer“.
442;05 Essen & Trinken;olej;Öl;Dnes si zapamätám slovo „olej“.;Heute merke ich mir das Wort „Öl“.
443;05 Essen & Trinken;ocot;Essig;Dnes si zapamätám slovo „ocot“.;Heute merke ich mir das Wort „Essig“.
444;05 Essen & Trinken;múka;Mehl;Dnes si zapamätám slovo „múka“.;Heute merke ich mir das Wort „Mehl“.
445;05 Essen & Trinken;koláč;Kuchen;Dnes si zapamätám slovo „koláč“.;Heute merke ich mir das Wort „Kuchen“.
446;05 Essen & Trinken;čokoláda;Schokolade;Dnes si zapamätám slovo „čokoláda“.;Heute merke ich mir das Wort „Schokolade“.
447;05 Essen & Trinken;zmrzlina;Eis;Dnes si zapamätám slovo „zmrzlina“.;Heute merke ich mir das Wort „Eis“.
448;05 Essen & Trinken;dezert;Dessert;Dnes si zapamätám slovo „dezert“.;Heute merke ich mir das Wort „Dessert“.
449;05 Essen & Trinken;porcia;Portion;Dnes si zapamätám slovo „porcia“.;Heute merke ich mir das Wort „Portion“.
450;05 Essen & Trinken;tanier;Teller;Dnes si zapamätám slovo „tanier“.;Heute merke ich mir das Wort „Teller“.
451;05 Essen & Trinken;miska;Schüssel;Dnes si zapamätám slovo „miska“.;Heute merke ich mir das Wort „Schüssel“.
452;05 Essen & Trinken;pohár;Glas;Dnes si zapamätám slovo „pohár“.;Heute merke ich mir das Wort „Glas“.
453;05 Essen & Trinken;šálka;Tasse;Dnes si zapamätám slovo „šálka“.;Heute merke ich mir das Wort „Tasse“.
454;05 Essen & Trinken;fľaša;Flasche;Dnes si zapamätám slovo „fľaša“.;Heute merke ich mir das Wort „Flasche“.
455;05 Essen & Trinken;lyžica;Löffel;Dnes si zapamätám slovo „lyžica“.;Heute merke ich mir das Wort „Löffel“.
456;05 Essen & Trinken;vidlička;Gabel;Dnes si zapamätám slovo „vidlička“.;Heute merke ich mir das Wort „Gabel“.
457;05 Essen & Trinken;nôž;Messer;Dnes si zapamätám slovo „nôž“.;Heute merke ich mir das Wort „Messer“.
458;05 Essen & Trinken;obrúsok;Serviette;Dnes si zapamätám slovo „obrúsok“.;Heute merke ich mir das Wort „Serviette“.
459;05 Essen & Trinken;stôl;Tisch;Dnes si zapamätám slovo „stôl“.;Heute merke ich mir das Wort „Tisch“.
460;05 Essen & Trinken;menu;Speisekarte;Dnes si zapamätám slovo „menu“.;Heute merke ich mir das Wort „Speisekarte“.
461;05 Essen & Trinken;účet;Rechnung;Dnes si zapamätám slovo „účet“.;Heute merke ich mir das Wort „Rechnung“.
462;05 Essen & Trinken;reštaurácia;Restaurant;Dnes si zapamätám slovo „reštaurácia“.;Heute merke ich mir das Wort „Restaurant“.
463;05 Essen & Trinken;kaviareň;Café;Dnes si zapamätám slovo „kaviareň“.;Heute merke ich mir das Wort „Café“.
464;05 Essen & Trinken;bar;Bar;Dnes si zapamätám slovo „bar“.;Heute merke ich mir das Wort „Bar“.
465;05 Essen & Trinken;pekáreň;Bäckerei;Dnes si zapamätám slovo „pekáreň“.;Heute merke ich mir das Wort „Bäckerei“.
466;05 Essen & Trinken;obchod;Geschäft;Dnes si zapamätám slovo „obchod“.;Heute merke ich mir das Wort „Geschäft“.
467;05 Essen & Trinken;trh;Markt;Dnes si zapamätám slovo „trh“.;Heute merke ich mir das Wort „Markt“.
468;05 Essen & Trinken;hlad;Hunger;Dnes si zapamätám slovo „hlad“.;Heute merke ich mir das Wort „Hunger“.
469;05 Essen & Trinken;smäd;Durst;Dnes si zapamätám slovo „smäd“.;Heute merke ich mir das Wort „Durst“.
470;05 Essen & Trinken;chuť;Geschmack/Appetit;Dnes si zapamätám slovo „chuť“.;Heute merke ich mir das Wort „Geschmack/Appetit“.
471;05 Essen & Trinken;sladký;süß;Dnes si zapamätám slovo „sladký“.;Heute merke ich mir das Wort „süß“.
472;05 Essen & Trinken;slaný;salzig;Dnes si zapamätám slovo „slaný“.;Heute merke ich mir das Wort „salzig“.
473;05 Essen & Trinken;kyslý;sauer;Dnes si zapamätám slovo „kyslý“.;Heute merke ich mir das Wort „sauer“.
474;05 Essen & Trinken;horký;bitter;Dnes si zapamätám slovo „horký“.;Heute merke ich mir das Wort „bitter“.
475;05 Essen & Trinken;pikantný;scharf;Dnes si zapamätám slovo „pikantný“.;Heute merke ich mir das Wort „scharf“.
476;05 Essen & Trinken;čerstvý;frisch;Dnes si zapamätám slovo „čerstvý“.;Heute merke ich mir das Wort „frisch“.
477;05 Essen & Trinken;teplý;warm;Dnes si zapamätám slovo „teplý“.;Heute merke ich mir das Wort „warm“.
478;05 Essen & Trinken;studený;kalt;Dnes si zapamätám slovo „studený“.;Heute merke ich mir das Wort „kalt“.
479;05 Essen & Trinken;horúci;heiß;Dnes si zapamätám slovo „horúci“.;Heute merke ich mir das Wort „heiß“.
480;05 Essen & Trinken;chutný;lecker;Dnes si zapamätám slovo „chutný“.;Heute merke ich mir das Wort „lecker“.
481;05 Essen & Trinken;hladný;hungrig;Dnes si zapamätám slovo „hladný“.;Heute merke ich mir das Wort „hungrig“.
482;05 Essen & Trinken;smädný;durstig;Dnes si zapamätám slovo „smädný“.;Heute merke ich mir das Wort „durstig“.
483;05 Essen & Trinken;plný;voll;Dnes si zapamätám slovo „plný“.;Heute merke ich mir das Wort „voll“.
484;05 Essen & Trinken;prázdny;leer;Dnes si zapamätám slovo „prázdny“.;Heute merke ich mir das Wort „leer“.
485;05 Essen & Trinken;vegetariánsky;vegetarisch;Dnes si zapamätám slovo „vegetariánsky“.;Heute merke ich mir das Wort „vegetarisch“.
